CAMPUS,Label,Name
CB0708DR15R,CB0708DR15R,dropoutMSAfricanAmerican
CA0708DR15R,CA0708DR15R,dropoutMSAllStudents
CI0708DR15R,CI0708DR15R,dropoutMSAmericanIndian
C30708DR15R,C30708DR15R,dropoutMSAsian
CR0708DR15R,CR0708DR15R,dropoutMSAtRisk
CE0708DR15R,CE0708DR15R,dropoutMSEconDisadv
CF0708DR15R,CF0708DR15R,dropoutMSFemale
CH0708DR15R,CH0708DR15R,dropoutMSHispanic
CL0708DR15R,CL0708DR15R,dropoutMSLEP
CM0708DR15R,CM0708DR15R,dropoutMSMale
C40708DR15R,C40708DR15R,dropoutMSPacificIslander
CS0708DR15R,CS0708DR15R,dropoutMSSpecialEd
C20708DR15R,C20708DR15R,dropoutMSTwoorMoreRaces
CW0708DR15R,CW0708DR15R,dropoutMSWhite
CB0912DR15R,CB0912DR15R,dropoutHSAfricanAmerican
CA0912DR15R,CA0912DR15R,dropoutHSAllStudents
CI0912DR15R,CI0912DR15R,dropoutHSAmericanIndian
C30912DR15R,C30912DR15R,dropoutHSAsian
CR0912DR15R,CR0912DR15R,dropoutHSAtRisk
CE0912DR15R,CE0912DR15R,dropoutHSEconDisadv
CF0912DR15R,CF0912DR15R,dropoutHSFemale
CH0912DR15R,CH0912DR15R,dropoutHSHispanic
CL0912DR15R,CL0912DR15R,dropoutHSLEP
CM0912DR15R,CM0912DR15R,dropoutHSMale
C40912DR15R,C40912DR15R,dropoutHSPacificIslander
CS0912DR15R,CS0912DR15R,dropoutHSSpecialEd
C20912DR15R,C20912DR15R,dropoutHSTwoorMoreRaces
CW0912DR15R,CW0912DR15R,dropoutHSWhite
CB0AT15R,CB0AT15R,attendanceAfricanAmerican
CA0AT15R,CA0AT15R,attendanceAllStudents
C30AT15R,C30AT15R,attendanceAsian
CR0AT15R,CR0AT15R,attendanceAtRisk
CE0AT15R,CE0AT15R,attendanceEconDisadv
CF0AT15R,CF0AT15R,attendanceFemale
CH0AT15R,CH0AT15R,attendanceHispanic
CL0AT15R,CL0AT15R,attendanceLEP
CM0AT15R,CM0AT15R,attendanceMale
CI0AT15R,CI0AT15R,attendanceNativeAmerican
C40AT15R,C40AT15R,attendancePacificIslander
CS0AT15R,CS0AT15R,attendanceSpecialEd
C20AT15R,C20AT15R,attendanceTwoorMoreRaces
CW0AT15R,CW0AT15R,attendanceWhite